id,Content,Time,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11
R_7TK9RmKgQwOdkSp,"Please note that parking arrangements are insufficient or counter-productive for individuals who must use golf carts due to disability.  While the campus is accessible, some buildings are not due to parking problems.",10/14/13,Other transit,,,,Parking,,,,,,
R_3raza7bS3toiLqt,Get students to use lights and wear helmets!  Keep up the great work!,10/14/13,Bike,,,,,,,,,,
R_5vgBXeiZM7i3VUp,"Stanford has excellent programs.  I just wish it wouldn't take 1.5-2 hours to get from my home in Cupertino to my workplace via public transit.  Also it would be nice if all the transit planning options didn't assume going to the train station in Sunnyvale.  That alone takes as long as it takes me to drive to work.  I would also like more options on the west side of campus.  (I'm not even going to comment about parking, I'm sure you've heard from every annoyed person on campus.)",10/14/13,Other transit,,Other transit,,,,,,,,
R_9LcWXqrheufmc6h,"There is still no substitute for adequate and reasonably placec parking for automobiles. / Stanford needs more and cheaper EV charging stations, including Level 3 chargers.",10/14/13,Bike,,,,Parking,,,,,,
R_6X20vfshwwBGPwF,Increase the financial incentives. Ensure that the bus lines --both DB and U and AWE -- have accurate schedules and show up on time.  They are often late and the schedules don't reflect the average time it takes to get to my destination.  Make sure schedules are correct on Google Maps. ,10/14/13,Other transit,,,Commute Club,,,,,,,
R_eCADfWkngEEcMfP,I live near the coastside and there is NO public transit and no option to ride a bike.  I love where I live and am not likely to ever move.  At least I drive a Prius.,10/14/13,Other transit,,,,,,,,,,
R_8kcxesWuBdTUWJn,There should be a program for reduced rate parking for all electric vehicles. ,10/14/13,Other transit,,,,,,,,,,Other
R_b8hZugfq6q9G0jr,The staff at Bonair Siding are the best,10/14/13,Other transit,,,,,,,,,,Other
R_82ClWNepPDCZRLD,I dont know how to ride a bike,10/14/13,Parking,,,,,,,,,,
R_74zOYGDUtsHARp3,"We asked for over a year for a bus route from the East Bay that would arrive in time for the employees that begin at 6AM and after doing our own legwork and circulating a petition we finally got a Marguerite shuttle. / Since then it has felt like Stanford is discouraging interest in this shuttle and hoping it will fail.  The shuttle has gotten smaller and smaller and the current shuttle is noisy, uncomfortable, and almost standing room only.  The published pickup time from the East Bay was changed from 5:20 to 5:15 even though the ACTUAL pick-up time is unchanged so now instead of the bus arriving at 5:15 and departing for Stanford at 5:20 the bus now arrives at 5:20 and leaves almost immediately.  Riders are forced to arrive early and wait in the cold or risk missing the bus.  Seems like the original schedule was tailored for the riders and the new schedule is tailored for the driver.",10/14/13,Marguerite,,,,,,,,,,
R_9nmZY1wQ58vCU9D,It would also be great to have a Marguerite Shuttle from Stanford Research Park to Ardenwood/Fremont/East Bay - just like the Uline & Ardenwood Express. Thank you.,10/14/13,Other transit,,,,,,,,,,
R_dcCWyJyiAnGuwRf,"DB and U line, the workers that do not have the flexible time finds it to much of a rush to catch the buses.   Missing these bus they need to wait for the next one, ~1/2 hour or 1 hour.  Their request to take a shorter lunch break management has decline the worker.  Stanford might see more riders if they didn't have to wait around for the next bus to show. /  / ",10/14/13,Marguerite,,Other transit,,,,,,,,
R_a5Z8W94j3QFvlmR,I'm very troubled by the beeping sound when the Marguerite door open and close.  It's really unpleasant to take the Marguerite because of it.  ,10/14/13,Marguerite,,,,,,,,,,
R_3JHRfEyPhXp3hJP,"The wi-fi on the buses is terrible--U, Ardenwood Express and DBs (the U is the best of the lot).  Yesterday i forgot my phone and needed to call my husband on the way home so i wanted to Skype him with my iPad, but the AE had no wi-fi.  At Ardenwood Park and Ride i was able to connect to him briefly while standing next to a DB going back to Stanford.  When the DB and DB1 arrived simultaneously to go to Union City Bart i ran from one to the other and neither had working wi-fi!  One showed that it was connected but it didn't work.  I finallly had to call him from a pay phone at BART.  But it's typical that one or more of the multiple buses i take to or from campus has wifi that doesn't work, and sometimes it's all of them.  And with the diddling with the bus schedules over the years and increasing traffic, my commute is about 15 minutes longer in the morning and a half an hour or more longer in the afternoon, often exceeding 2 hours.  I've got 10 more years of this, folks, i'm just hoping i don't break down from exhaustion.",10/14/13,Marguerite,,Other transit,,,,,,,,
R_a8LF6Er5BcYHtJP,bicycle registration should be made free,10/14/13,Bike,,,,,,,,,,
R_5sCuJEUUdWgqBil,"Don't waste money on prizes, intstead use it towards suplying parking that does not keep getting farther away (C parking especially) and more expensive.",10/14/13,Parking,,,,Parking,,,,,,
R_7TAOzkIpUrpDD4F,It would be nice if you also gave carpool incentives for the off-campus office locations.,10/14/13,Carpooling/Vanpooling,,,Commute Club,,,,Carpooling/Vanpooling,,,
